type,G,GR,GT,L,LR,LT,R
T1,0.0745,0.0305,0.0616,0.0812,0.0661,0.0765,0.0
T2,0.0936,0.0172,0.1286,0.1298,0.1248,0.1193,0.0
T3,0.1079,0.0581,0.1375,0.1001,0.0784,0.1047,0.0
T4,0.0283,0.0183,0.0213,0.0368,0.025,0.0285,0.0
T5,0.1838,0.0568,0.4246,0.1751,0.1333,0.1559,0.1183
T6,0.1372,0.0889,0.4596,0.2069,0.142,0.1977,0.1458
T7,0.0146,0.0198,0.0641,0.2109,0.1382,0.229,0.0
T8,0.154,0.0832,0.1473,0.166,0.1485,0.1655,0.104
T9,0.1513,0.0868,0.1817,0.1623,0.1203,0.1607,0.0
T10,0.1203,0.0483,0.092,0.1212,0.0908,0.0995,0.0
T11,0.3775,0.345,0.3942,0.341,0.2807,0.3264,0.0
T12,0.2563,0.258,0.2347,0.1905,0.1208,0.1813,0.0
