type,G,GR,GT,L,LR,LT,R
T1,0.3913,0.4304,0.3623,0.3475,0.2892,0.3407,0.3488
T2,0.2621,0.2322,0.3856,0.2692,0.243,0.2634,0.2916
T3,0.303,0.2171,0.3451,0.2897,0.2192,0.2567,0.2987
T4,0.4771,0.4475,0.3984,0.4641,0.3601,0.41,0.4702
T5,0.1716,0.0841,0.419,0.0992,0.1113,0.0902,0.1173
T6,0.1369,0.1366,0.4493,0.1617,0.1228,0.1458,0.1497
T7,0.0101,0.0177,0.0114,0.0262,0.0109,0.0437,0.0394
T8,0.1463,0.106,0.1432,0.1192,0.11,0.1112,0.0972
T9,0.1298,0.0825,0.169,0.1214,0.0691,0.1151,0.1338
T10,0.0876,0.0441,0.0844,0.1058,0.0684,0.0833,0.086
T11,0.449,0.4408,0.4632,0.2981,0.2524,0.2802,0.2542
T12,0.2589,0.264,0.2428,0.1572,0.142,0.1566,0.1232
